"","Sample_ID","Stiffness_Score","Tumor_Type"
"TCGA-V5-AASW-01A-11R-A406-31","TCGA-V5-AASW-01A-11R-A406-31",6.3877649122807,"TCGA-ESCA"
"TCGA-LN-A49N-01A-11R-A24K-31","TCGA-LN-A49N-01A-11R-A24K-31",60.6605719298246,"TCGA-ESCA"
"TCGA-L5-A4OU-01A-11R-A28J-31","TCGA-L5-A4OU-01A-11R-A28J-31",12.9833736842105,"TCGA-ESCA"
"TCGA-LN-A49X-01A-31R-A260-31","TCGA-LN-A49X-01A-31R-A260-31",52.7726298245614,"TCGA-ESCA"
"TCGA-VR-A8EU-01A-11R-A36D-31","TCGA-VR-A8EU-01A-11R-A36D-31",21.9359649122807,"TCGA-ESCA"
"TCGA-LN-A49P-01A-11R-A24K-31","TCGA-LN-A49P-01A-11R-A24K-31",18.867849122807,"TCGA-ESCA"
"TCGA-L5-A88V-01A-11R-A354-31","TCGA-L5-A88V-01A-11R-A354-31",14.9936912280702,"TCGA-ESCA"
"TCGA-V5-A7RB-01A-11R-A354-31","TCGA-V5-A7RB-01A-11R-A354-31",8.2376,"TCGA-ESCA"
"TCGA-2H-A9GI-01A-11R-A37I-31","TCGA-2H-A9GI-01A-11R-A37I-31",8.32095438596491,"TCGA-ESCA"
"TCGA-L5-A8NW-01A-11R-A37I-31","TCGA-L5-A8NW-01A-11R-A37I-31",21.6232035087719,"TCGA-ESCA"
"TCGA-VR-A8EP-01A-31R-A406-31","TCGA-VR-A8EP-01A-31R-A406-31",7.00902631578947,"TCGA-ESCA"
"TCGA-L7-A6VZ-01A-12R-A336-31","TCGA-L7-A6VZ-01A-12R-A336-31",7.72991228070175,"TCGA-ESCA"
"TCGA-L5-A893-01A-11R-A36D-31","TCGA-L5-A893-01A-11R-A36D-31",15.0482771929825,"TCGA-ESCA"
"TCGA-ZR-A9CJ-01B-11R-A38D-31","TCGA-ZR-A9CJ-01B-11R-A38D-31",63.2133035087719,"TCGA-ESCA"
"TCGA-CV-7423-01A-11R-2081-07","TCGA-CV-7423-01A-11R-2081-07",24.8311684210526,"TCGA-HNSC"
"TCGA-DQ-7595-01A-11R-2232-07","TCGA-DQ-7595-01A-11R-2232-07",12.9028754385965,"TCGA-HNSC"
"TCGA-CR-7377-01A-11R-2016-07","TCGA-CR-7377-01A-11R-2016-07",47.4859,"TCGA-HNSC"
"TCGA-CR-7371-01A-11R-2016-07","TCGA-CR-7371-01A-11R-2016-07",26.7983526315789,"TCGA-HNSC"
"TCGA-T2-A6X0-01A-11R-A34R-07","TCGA-T2-A6X0-01A-11R-A34R-07",11.7806666666667,"TCGA-HNSC"
"TCGA-WA-A7GZ-01A-11R-A34R-07","TCGA-WA-A7GZ-01A-11R-A34R-07",31.7144368421053,"TCGA-HNSC"
"TCGA-CV-A463-01A-11R-A266-07","TCGA-CV-A463-01A-11R-A266-07",8.04054912280702,"TCGA-HNSC"
