,gene,log2FC,p_value,adjusted_p,-log10(adjusted_p)
267,MDS2,-0.0009921652,0.9085127751840907,0.9999853635789433,6.356563418520975e-06
268,RPL11,0.052211046,0.0,0.0,inf
269,ELOA,0.16398698,1.4488788428023066e-47,1.594390859507129e-46,45.79740520406986
270,ELOA-AS1,0.015309073,0.0952857678335729,0.1924441044047832,0.7156953891351973
271,PITHD1,0.14666104,5.325794300899601e-72,8.867397922596523e-71,70.05220380222542
272,LYPLA2,0.07390553,8.421865065836817e-16,4.131681511859916e-15,14.383873163186474
273,GALE,0.038123608,0.0015692041701091722,0.003957758669942485,2.402550691056265
274,HMGCL,0.024490714,0.04510270304045796,0.09596936408489638,1.0178673829219307
275,FUCA1,0.10705914,1.0223163688688607e-12,4.424264595380679e-12,11.354158907725623
276,CNR2,-0.0024752314,0.8762154435963403,0.9999853635789433,6.356563418520975e-06
277,PNRC2,0.05952847,1.8224095647716365e-12,7.803718351831036e-12,11.107698413348883
278,SRSF10,0.059207678,3.2655866844525704e-56,4.225413971879946e-55,54.37413073596971
279,IFNLR1,0.005920455,0.47828592322298524,0.7942708840149909,0.10003135730883286
280,GRHL3,0.0027488498,0.7891290199162195,0.9999853635789433,6.356563418520975e-06
281,STPG1,0.010452211,0.17096508497769436,0.3270779554478582,0.48534872567011034
282,NIPAL3,0.02389583,0.05972070466148243,0.1249035837142256,0.9034251007372747
283,RCAN3,-0.08839482,1.4949198747384623e-14,6.985146903598951e-14,13.15582445587027
284,AL445686.2,-0.022019953,0.17421509295037652,0.3327260805445512,0.477913155871015
285,SRRM1,0.06966376,6.305520359814336e-73,1.0607273290141107e-71,70.97439624166296
286,CLIC4,0.03217363,0.02143345163401765,0.047910506372533634,1.3195692390012788
287,RUNX3,-0.118592024,6.746647183986614e-61,9.454823271477167e-60,59.02434658452805
288,AL445471.1,-0.0016448454,0.8580323906508266,0.9999853635789433,6.356563418520975e-06
289,AL445471.2,-0.003308978,0.8015777253385522,0.9999853635789433,6.356563418520975e-06
290,AL031432.1,0.00088303117,0.9209668546828651,0.9999853635789433,6.356563418520975e-06
291,SYF2,0.093737006,1.513495725234616e-39,1.4015707176926672e-38,37.853384984575925
292,AL031432.5,0.0003325676,0.971740013621019,0.9999853635789433,6.356563418520975e-06
293,RSRP1,0.08034402,1.0540577031974358e-11,4.3701970434909686e-11,10.359498981113882
294,AL031432.3,0.0026567262,0.7664227311069591,0.9999853635789433,6.356563418520975e-06
295,RHD,-5.7822326e-05,0.9762123706473863,0.9999853635789433,6.356563418520975e-06
296,TMEM50A,0.10315573,1.6815986029422626e-88,3.60988550033776e-87,86.44250657298633
297,RHCE,0.0014308521,0.929329781574211,0.9999853635789433,6.356563418520975e-06
298,MACO1,0.118727714,7.122527747332237e-20,4.0203611482889857e-19,18.395734932571205
299,LDLRAP1,-0.010908067,0.7218538024933768,0.9999853635789433,6.356563418520975e-06
300,AL606491.1,-0.0002560392,0.9572487347070634,0.9999853635789433,6.356563418520975e-06
301,MAN1C1,0.2158723,3.425452657463588e-50,3.977528858491161e-49,48.4003866606976
302,AL031280.1,-0.05021675,0.0006352826398245079,0.001665707355621972,2.7784012964480183
303,SELENON,0.007828079,0.3513570125820541,0.6161582915555841,0.21030770290371736
304,AL020996.1,-0.0031956974,0.8537852620685181,0.9999853635789433,6.356563418520975e-06
305,MTFR1L,0.059446275,1.8982073043193224e-06,5.989719960444348e-06,5.222593481863903
306,AUNIP,0.04054509,0.0004150877314885211,0.0011055404847300765,2.956425348993961
307,AL033528.2,0.0010001815,0.9808773192769294,0.9999853635789433,6.356563418520975e-06
308,PAQR7,0.02326971,0.03150968168997178,0.06869740648379363,1.1630596584431903
309,STMN1,-0.054080725,5.554390951448504e-45,5.811797483546058e-44,43.23568952742818
310,PAFAH2,0.040106505,9.767683960330237e-05,0.00027274472919835307,3.5642436334149226
311,TRIM63,-0.0014199924,0.8718224428288095,0.9999853635789433,6.356563418520975e-06
312,PDIK1L,0.024424702,0.029155492333874006,0.06396252164327505,1.1940744230656994
313,FAM110D,0.0015604593,0.9528986619469713,0.9999853635789433,6.356563418520975e-06
